Date,Open,High,Low,Close,Volume
2023-07-20,0.651,0.69,0.65,0.6743,76393
2023-07-21,0.666,0.688,0.666,0.687,58497
2023-07-24,0.672,0.685,0.672,0.6772,39979
2023-07-25,0.69,0.69,0.64,0.65,62649
2023-07-26,0.65,0.6841,0.65,0.6672,14676
2023-07-27,0.64,0.6818,0.64,0.676,54695
2023-07-28,0.68,0.6889,0.64,0.640101,48371
2023-07-31,0.6403,0.665,0.64,0.65,30191
2023-08-01,0.64,0.6529,0.63,0.63,40607
2023-08-02,0.6373,0.6447,0.62,0.6447,22036
2023-08-03,0.62,0.6695,0.62,0.6493,38292
2023-08-04,0.6818,0.6818,0.628,0.66,56689
2023-08-07,0.634,0.65,0.62,0.65,79718
2023-08-08,0.639,0.647,0.62,0.647,17768
2023-08-09,0.6344,0.646901,0.6313,0.6335,45533
2023-08-10,0.64,0.645,0.62,0.64,95910
2023-08-11,0.62,0.6449,0.62,0.6203,49450
2023-08-14,0.63,0.6302,0.6,0.6023,66087
2023-08-15,0.9141,0.96,0.7418,0.8225,31646287
2023-08-16,0.7946,0.89,0.76,0.7901,2256751
2023-08-17,0.79,0.8,0.700015,0.7516,837089
2023-08-18,0.73,0.739499,0.72,0.7324,108028
2023-08-21,0.72,0.7599,0.66,0.69,274788
2023-08-22,0.668,0.713299,0.65,0.674,169503
2023-08-23,0.64,0.6979,0.64,0.69,135424
2023-08-24,0.671,0.7,0.66,0.6798,157662
2023-08-25,0.672,0.69,0.6525,0.69,62830
2023-08-28,0.6939,0.697,0.6558,0.6788,60447
2023-08-29,0.689,0.72,0.6592,0.709,153923
2023-08-30,0.71,0.8129,0.7,0.773,266764
2023-08-31,0.7976,0.7976,0.727,0.727,85238
2023-09-01,0.74,0.78,0.74,0.7588,110702
2023-09-05,0.82,0.82,0.73,0.759,146573
2023-09-06,0.7713,0.784,0.736,0.759,30012
2023-09-07,0.7437,0.76545,0.7311,0.732,61573
2023-09-08,0.71,0.75,0.7,0.748,190114
2023-09-11,0.74,0.758,0.71,0.758,87549
2023-09-12,0.7351,0.75,0.7351,0.75,62565
2023-09-13,0.73,0.745499,0.71,0.725,81774
2023-09-14,0.737599,0.737599,0.706,0.7105,82971
2023-09-15,0.7455,0.7455,0.68,0.6947,49356
2023-09-18,0.7133,0.7133,0.6605,0.678,82237
2023-09-19,0.68,0.7,0.66,0.671,69717
2023-09-20,0.671,0.701,0.660101,0.701,37055
2023-09-21,0.7,0.7,0.6385,0.689899,64169
2023-09-22,0.69,0.711,0.641801,0.659,123270
2023-09-25,0.65,0.675,0.65,0.6576,61518
2023-09-26,0.68,0.69,0.6522,0.66,71244
2023-09-27,0.658,0.68,0.65,0.6701,26470
2023-09-28,0.6525,0.672,0.6501,0.6708,14852
2023-09-29,0.67,0.7079,0.6538,0.6599,52533
2023-10-02,0.64,0.68,0.6302,0.66,46766
2023-10-03,0.6826,0.700575,0.66,0.69,67646
2023-10-04,0.673,0.6956,0.66,0.6825,31606
2023-10-05,0.6602,0.695,0.66,0.6806,44246
2023-10-06,0.685,0.738,0.68,0.725,115660
2023-10-09,0.729,0.729,0.6726,0.7179,54183
2023-10-10,0.7086,0.725,0.6803,0.725,20151
2023-10-11,0.699,0.7125,0.692,0.692,43332
2023-10-12,0.69,0.78,0.69,0.7398,224932
2023-10-13,0.7927,0.86,0.77,0.8,562929
2023-10-16,0.87,0.94,0.8324,0.85,1213313
2023-10-17,0.841,0.841,0.71,0.731,348955
2023-10-18,0.82,0.82,0.7154,0.7554,433214
2023-10-19,0.7327,0.7499,0.6568,0.66,273312
2023-10-20,0.66,0.6618,0.641,0.641,99505
2023-10-23,0.6402,0.667,0.6402,0.641,49462
2023-10-24,0.6207,0.6598,0.61,0.658,106156
2023-10-25,0.648,0.654951,0.62,0.639,72488
2023-10-26,0.62,0.6499,0.6173,0.641001,37735
2023-10-27,0.63,0.6835,0.63,0.63,59906
2023-10-30,0.632,0.69,0.63,0.6402,56074
2023-10-31,0.6501,0.657,0.6174,0.6542,33979
